관리번호,구분,관리기관,시설명,위치,출발 X,출발 Y,도착 X,도착 Y,총중량,폭제한,높이제한,길이제한,실제높이
183,고가,서부도로사업소,충정교,서대문구 충정로동,196838.7474,551423.8175,551452.4578,196852.2764,32,2.5,4,16.7,
188,고가,서부도로사업소,현저(독립문고가차도),서대문구 현저동,196200.9697,552403.3195,552546.4527,196684.6197,32,2.5,4,16.7,
590,교량,서대문,포방교 ,서대문구 홍은동,195492.3711,555409.7936,555442.3498,195493.5769,40,2.5,4,16.7,
591,교량,서대문,옥천교 ,서대문구 홍은동,195972.2735,555186.7234,555215.6622,195993.9776,24,2.5,4,16.7,
592,교량,서대문,홍제3교 ,서대문구 홍은동,194327.5829,554264.2979,554282.3847,194379.4316,40,2.5,4,16.7,
593,교량,서대문,옥천2교 ,서대문구 홍은동,195629.8306,555262.6879,555269.9226,195659.9752,16,2.5,4,16.7,
595,교량,서대문,홍은대교 ,서대문구 홍은동,195267.7937,555321.7713,555333.8292,195293.1152,32,2.5,4,16.7,
597,교량,서대문,홍전교 ,서대문구 홍은동,195282.2631,555177.0771,555181.9003,195301.5556,40,2.5,4,16.7,
599,교량,서대문,보도교 ,서대문구 홍은동,195899.3235,555239.1751,555268.1139,195915.9031,0,2.5,4,16.7,
600,교량,서대문,옥천3교 ,서대문구 홍은동,196112.1446,555244.2996,555245.5054,196149.5239,40,2.5,4,16.7,
675,교량,서부도로사업소,홍연교,서대문구 홍은동,194361.1302,553355.7817,553415.6345,194362.2087,32,2.5,4,16.7,
676,교량,서부도로사업소,백련교,서대문구 홍은동 ~ 연희동,194432.0369,553658.5503,553682.0061,194458.4583,40,2.5,4,16.7,
678,교량,서부도로사업소,홍연2교,서대문구 홍은동 ~ 연희동,193864.2446,553126.6158,553159.5079,193935.4209,32,2.5,4,16.7,
256,터널,공단,홍지문터널,서대문구 홍은동 ~ 종로구 평창동,196193.6322,555133.5543,556158.6996,197413.7246,40,2.5,4,16.7,
589,교량,서대문,홍은교 ,서대문구 홍제동,195295.2253,554969.6821,554991.3862,195335.6191,40,2.5,4,16.7,
742,교량,동부도로사업소,헌릉교,서초구 내곡동,207509.7267,540249.7086,540258.5267,207531.0118,32,2.5,4,16.7,
660,교량,서초,샘마을육교 ,서초구 내곡동,206267.6146,540477.6014,540501.8419,206281.961,40,2.5,4,16.7,
664,교량,서초,인릉교 ,서초구 내곡동,207934.7678,540479.5802,540499.3683,207942.1883,32,2.5,4,16.7,
672,교량,서초,헌인교,서초구 내곡동,207992.1534,540468.944,540493.6792,207994.1323,40,2.5,4,16.7,
258,터널,성남시,내곡터널,서초구 내곡동 ~ 성남시 상적동,206796.9956,537590.3167,539398.409,206882.5858,40,2.5,4,16.7,
199,고가,남부도로사업소,강남터미널고가,서초구 반포동,199990.9006,544868.1535,545322.2617,200215.2194,32,2.5,4,16.7,
777,교량,남부도로사업소,반포교,서초구 반포동,199117.2605,544398.9569,544446.2708,199130.0118,32,2.5,4,16.7,
855,교량,공단,반포대교통과교,서초구 반포동,199851.1232,545635.0659,545665.329,199900.7108,40,2.5,4,16.7,
856,교량,공단,반포대교통과교,서초구 반포동,199851.1232,545635.0659,545665.329,199900.7108,40,2.5,4,16.7,
628,교량,서초,반포1교 ,서초구 반포동,199811.7942,544521.1034,544551.5495,199827.168,32,2.5,4,16.7,
670,교량,서초,반포천1교 ,서초구 반포동,199705.8581,544467.1434,544487.9209,199716.2469,40,2.5,4,16.7,
671,교량,서초,반포천2교 ,서초구 반포동,199621.2637,544522.0555,544696.1914,199694.4799,40,2.5,4,16.7,
852,교량,공단,신동작2교,서초구 반포동 ~ 동작구 흑석동,198028.2307,545060.2505,545063.8966,198197.412,40,2.5,4,16.7,
853,교량,공단,동작2교,서초구 반포동 ~ 동작구 흑석동,198053.7538,545022.3305,545028.1643,198205.4336,40,2.5,4,16.7,
779,교량,남부도로사업소,사방교,서초구 방배동,198508.8908,542901.0185,542906.723,198557.2114,32,2.5,4,16.7,
781,교량,남부도로사업소,이수교,서초구 방배동,198684.053,544502.3093,544523.7851,198704.5221,40,2.5,4,16.7,
653,교량,서초,방배교 ,서초구 방배동,199316.0194,542243.2917,542275.3224,199331.7957,0,2.5,4,16.7,
859,교량,공단,서초1교,서초구 서초동,201871.637,544031.6717,544094.7501,201892.0554,40,2.5,4,16.7,
